Absolute path,Relative path,Class
D:\Lab on python\Lab-1-var-4\dataset\rose\0.jpg,dataset\rose\0.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\1.jpg,dataset\rose\1.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\2.jpg,dataset\rose\2.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\3.jpg,dataset\rose\3.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\4.jpg,dataset\rose\4.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\5.jpg,dataset\rose\5.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\6.jpg,dataset\rose\6.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\7.jpg,dataset\rose\7.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\8.jpg,dataset\rose\8.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\9.jpg,dataset\rose\9.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\10.jpg,dataset\rose\10.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\11.jpg,dataset\rose\11.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\12.jpg,dataset\rose\12.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\13.jpg,dataset\rose\13.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\14.jpg,dataset\rose\14.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\15.jpg,dataset\rose\15.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\16.jpg,dataset\rose\16.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\17.jpg,dataset\rose\17.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\18.jpg,dataset\rose\18.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\19.jpg,dataset\rose\19.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\20.jpg,dataset\rose\20.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\21.jpg,dataset\rose\21.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\22.jpg,dataset\rose\22.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\23.jpg,dataset\rose\23.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\24.jpg,dataset\rose\24.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\25.jpg,dataset\rose\25.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\26.jpg,dataset\rose\26.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\27.jpg,dataset\rose\27.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\28.jpg,dataset\rose\28.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\29.jpg,dataset\rose\29.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\30.jpg,dataset\rose\30.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\31.jpg,dataset\rose\31.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\32.jpg,dataset\rose\32.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\33.jpg,dataset\rose\33.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\34.jpg,dataset\rose\34.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\35.jpg,dataset\rose\35.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\36.jpg,dataset\rose\36.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\37.jpg,dataset\rose\37.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\38.jpg,dataset\rose\38.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\39.jpg,dataset\rose\39.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\40.jpg,dataset\rose\40.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\41.jpg,dataset\rose\41.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\42.jpg,dataset\rose\42.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\43.jpg,dataset\rose\43.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\44.jpg,dataset\rose\44.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\45.jpg,dataset\rose\45.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\46.jpg,dataset\rose\46.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\47.jpg,dataset\rose\47.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\48.jpg,dataset\rose\48.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\49.jpg,dataset\rose\49.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\rose\50.jpg,dataset\rose\50.jpg,rose
D:\Lab on python\Lab-1-var-4\dataset\tulip\0.jpg,dataset\tulip\0.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\1.jpg,dataset\tulip\1.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\2.jpg,dataset\tulip\2.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\3.jpg,dataset\tulip\3.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\4.jpg,dataset\tulip\4.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\5.jpg,dataset\tulip\5.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\6.jpg,dataset\tulip\6.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\7.jpg,dataset\tulip\7.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\8.jpg,dataset\tulip\8.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\9.jpg,dataset\tulip\9.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\10.jpg,dataset\tulip\10.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\11.jpg,dataset\tulip\11.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\12.jpg,dataset\tulip\12.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\13.jpg,dataset\tulip\13.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\14.jpg,dataset\tulip\14.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\15.jpg,dataset\tulip\15.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\16.jpg,dataset\tulip\16.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\17.jpg,dataset\tulip\17.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\18.jpg,dataset\tulip\18.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\19.jpg,dataset\tulip\19.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\20.jpg,dataset\tulip\20.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\21.jpg,dataset\tulip\21.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\22.jpg,dataset\tulip\22.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\23.jpg,dataset\tulip\23.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\24.jpg,dataset\tulip\24.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\25.jpg,dataset\tulip\25.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\26.jpg,dataset\tulip\26.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\27.jpg,dataset\tulip\27.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\28.jpg,dataset\tulip\28.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\29.jpg,dataset\tulip\29.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\30.jpg,dataset\tulip\30.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\31.jpg,dataset\tulip\31.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\32.jpg,dataset\tulip\32.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\33.jpg,dataset\tulip\33.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\34.jpg,dataset\tulip\34.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\35.jpg,dataset\tulip\35.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\36.jpg,dataset\tulip\36.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\37.jpg,dataset\tulip\37.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\38.jpg,dataset\tulip\38.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\39.jpg,dataset\tulip\39.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\40.jpg,dataset\tulip\40.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\41.jpg,dataset\tulip\41.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\42.jpg,dataset\tulip\42.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\43.jpg,dataset\tulip\43.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\44.jpg,dataset\tulip\44.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\45.jpg,dataset\tulip\45.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\46.jpg,dataset\tulip\46.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\47.jpg,dataset\tulip\47.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\48.jpg,dataset\tulip\48.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\49.jpg,dataset\tulip\49.jpg,tulip
D:\Lab on python\Lab-1-var-4\dataset\tulip\50.jpg,dataset\tulip\50.jpg,tulip
