Температура,Давление,Ветер
-20,765,В 2м-с
-20,764,Ш
-20,762,З 2м-с
-9,756,ЮЗ 3м-с
-6,751,ЮЗ 2м-с
-1,753,З 1м-с
-1,759,Ш
-4,765,Ю 3м-с
-8,765,Ю 1м-с
-9,765,Ш
-9,762,Ю 3м-с
-15,759,В 2м-с
-13,753,В 4м-с
-9,751,Ю 3м-с
-11,750,В 3м-с
-8,753,В 1м-с
-4,742,Ю 2м-с
-1,735,В 2м-с
-1,741,ЮВ 3м-с
-4,749,Ю 1м-с
-6,753,С 1м-с
-7,753,В 1м-с
-11,753,ЮВ 1м-с
-12,756,В 1м-с
-6,756,В 1м-с
-3,756,З 4м-с
-1,759,З 1м-с
-6,760,З 2м-с
-8,765,Ш
-10,773,В 2м-с
-14,774,ЮЗ 3м-с
-12,762,ЮЗ 3м-с
-3,760,ЮЗ 1м-с
-5,763,ЮЗ 1м-с
-4,758,ЮЗ 4м-с
-6,746,ЮЗ 4м-с
-13,744,В 2м-с
-10,741,ЮЗ 2м-с
-11,750,З 2м-с
-14,751,ЮЗ 3м-с
-13,746,ЮВ 2м-с
-8,735,СЗ 2м-с
-8,740,СЗ 4м-с
-7,750,З 3м-с
+1,734,ЮЗ 4м-с
+3,739,ЮЗ 3м-с
0,741,ЮЗ 4м-с
0,728,ЮЗ 3м-с
+2,744,З 3м-с
+2,741,ЮЗ 3м-с
+2,738,ЮЗ 3м-с
+3,743,Ю 3м-с
+2,738,В 3м-с
+2,736,Ю 2м-с
+1,735,В 1м-с
+1,744,З 3м-с
+1,750,ЮЗ 5м-с
+2,747,ЮЗ 4м-с
+2,742,З 2м-с
+1,753,С 2м-с
-2,752,СВ 3м-с
0,752,С 2м-с
0,751,ЮВ 2м-с
+3,746,Ю 2м-с
+4,744,Ш
+4,741,В 1м-с
0,738,В 1м-с
+2,735,ЮЗ 3м-с
0,737,В 2м-с
+4,741,ЮВ 1м-с
+4,746,ЮЗ 4м-с
+5,741,ЮЗ 4м-с
+2,738,З 1м-с
+3,748,Ю 1м-с
+4,745,ЮВ 2м-с
+10,744,В 2м-с
+15,738,В 3м-с
+12,746,ЮЗ 2м-с
+8,756,З 2м-с
+9,759,С 2м-с
+7,754,С 4м-с
+10,753,С 2м-с
+11,752,СВ 4м-с
+10,749,СВ 3м-с
+15,748,СВ 4м-с
+17,746,СВ 2м-с
+17,747,В 2м-с
+20,753,ЮЗ 2м-с
+20,755,Ю 3м-с
+19,755,Ю 3м-с
+20,753,Ю 3м-с
+21,752,Ю 2м-с
+22,750,Ю 3м-с
+21,747,ЮЗ 2м-с
+20,747,С 2м-с
+9,743,В 4м-с
+8,747,В 3м-с
+8,758,В 2м-с
+11,759,ЮВ 3м-с
+12,756,ЮВ 4м-с
+12,753,ЮВ 2м-с
+15,748,З 2м-с
+19,746,Ю 2м-с
+18,742,З 2м-с
+9,746,СЗ 3м-с
+4,742,С 2м-с
+13,750,ЮЗ 3м-с
+16,752,ЮЗ 3м-с
+14,755,СЗ 4м-с
+15,752,З 1м-с
+17,752,СЗ 2м-с
+20,754,З 2м-с
+21,752,З 2м-с
+14,751,СВ 4м-с
+13,754,С 4м-с
+15,755,СВ 2м-с
+17,752,З 1м-с
+19,746,З 2м-с
+20,742,З 2м-с
+20,741,С 3м-с
+19,746,З 2м-с
+20,751,З 2м-с
+24,748,В 3м-с
+24,745,С 2м-с
+21,744,ЮЗ 3м-с
+12,738,В 1м-с
+10,741,ЮЗ 4м-с
+13,749,З 3м-с
+21,749,ЮЗ 3м-с
+22,751,З 1м-с
+27,752,ЮЗ 3м-с
+29,752,ЮЗ 2м-с
+29,750,ЮЗ 1м-с
+29,748,ЮЗ 1м-с
+18,751,С 4м-с
+20,748,В 2м-с
+25,744,З 2м-с
+22,739,СЗ 2м-с
+17,744,С 2м-с
+10,742,С 3м-с
+11,738,СЗ 2м-с
+19,740,З 2м-с
+12,740,СВ 1м-с
+16,742,З 2м-с
+13,747,З 1м-с
+19,747,Ш
+19,746,З 1м-с
+16,739,ЮЗ 3м-с
+14,743,СЗ 3м-с
+12,744,С 3м-с
+9,749,С 3м-с
+14,748,ЮЗ 4м-с
+21,741,ЮЗ 4м-с
+20,746,ЮЗ 2м-с
+28,747,З 2м-с
+27,747,В 1м-с
+26,745,С 1м-с
+27,744,С 3м-с
+30,745,ЮВ 1м-с
+25,746,Ш
+27,744,З 1м-с
+27,745,С 1м-с
+23,747,СВ 3м-с
+26,747,СВ 3м-с
+31,742,В 3м-с
+25,741,ЮЗ 2м-с
+22,740,СВ 2м-с
+17,738,В 1м-с
+20,740,З 2м-с
+20,745,СЗ 3м-с
+23,747,СЗ 2м-с
+21,744,ЮЗ 2м-с
+21,739,В 1м-с
+19,738,З 1м-с
+21,738,Ш
+21,738,С 2м-с
+23,739,СВ 2м-с
+24,738,В 2м-с
+27,741,ЮВ 1м-с
+28,743,Ю 3м-с
+24,746,СВ 1м-с
+26,743,С 2м-с
+26,744,Ю 3м-с
+28,744,ЮЗ 2м-с
+21,742,Ю 2м-с
+23,744,СЗ 2м-с
+27,748,З 2м-с
+30,748,СЗ 2м-с
+32,746,С 1м-с
+32,746,С 2м-с
+31,748,В 3м-с
+31,747,В 2м-с
+31,744,В 1м-с
+25,747,Ю 1м-с
+28,748,С 2м-с
+32,749,СВ 1м-с
+31,749,В 1м-с
+27,746,С 2м-с
+26,745,С 1м-с
+22,744,Ш
+15,741,СВ 3м-с
+24,744,З 1м-с
+21,747,ЮЗ 4м-с
+23,749,З 2м-с
+23,750,ЮЗ 2м-с
+24,747,ЮЗ 1м-с
+25,747,З 3м-с
+23,742,С 2м-с
+24,744,З 2м-с
+21,738,ЮЗ 3м-с
+17,736,СЗ 1м-с
+13,743,ЮЗ 3м-с
+20,748,З 2м-с
+23,749,З 3м-с
+30,749,ЮЗ 3м-с
+31,750,З 1м-с
+33,751,З 1м-с
+33,751,ЮЗ 1м-с
+33,750,З 1м-с
+35,750,Ш
+32,752,С 2м-с
+32,752,Ш
+33,747,Ю 1м-с
+35,744,Ю 1м-с
+23,747,СЗ 2м-с
+27,746,Ю 1м-с
+25,747,З 1м-с
+27,750,З 2м-с
+28,750,ЮВ 2м-с
+30,746,ЮЗ 3м-с
+22,740,ЮЗ 5м-с
+19,744,З 3м-с
+25,744,ЮЗ 3м-с
+24,740,Ю 4м-с
+18,733,ЮЗ 5м-с
+13,741,З 3м-с
+15,749,З 5м-с
+14,751,З 2м-с
+20,753,З 2м-с
+26,753,З 3м-с
+29,753,ЮЗ 2м-с
+30,753,Ю 2м-с
+29,748,ЮЗ 3м-с
+29,744,ЮЗ 2м-с
+18,747,С 2м-с
+16,747,В 3м-с
+13,741,В 3м-с
+15,741,ЮЗ 1м-с
+15,742,Ю 1м-с
+11,734,В 2м-с
+8,746,С 3м-с
+10,753,С 2м-с
+12,757,СЗ 2м-с
+14,760,В 1м-с
+14,762,СВ 2м-с
+14,763,В 2м-с
+15,762,В 2м-с
+15,759,В 2м-с
+15,757,В 1м-с
+13,753,Ш
+10,751,С 3м-с
+6,753,С 2м-с
+7,752,ЮВ 1м-с
+14,747,ЮЗ 4м-с
+14,749,ЮЗ 3м-с
+15,752,Ю 2м-с
+17,753,Ю 1м-с
+20,754,ЮЗ 3м-с
+21,756,Ю 2м-с
+21,756,Ю 2м-с
+21,755,Ш
+21,752,Ш
+21,748,З 1м-с
+9,746,С 3м-с
+6,752,З 3м-с
+5,753,Ш
+7,744,ЮЗ 4м-с
+12,741,З 2м-с
+12,745,З 4м-с
+13,742,ЮЗ 4м-с
+10,749,СЗ 2м-с
+11,752,ЮЗ 1м-с
+10,753,Ю 2м-с
+7,749,ЮЗ 2м-с
+8,747,Ю 2м-с
+8,748,С 2м-с
+9,756,З 2м-с
+11,756,З 2м-с
+11,756,З 3м-с
+8,762,С 2м-с
+9,762,Ш
+9,758,ЮЗ 3м-с
+8,759,ЮЗ 2м-с
+9,760,ЮЗ 2м-с
+11,762,ЮЗ 1м-с
+13,762,Ю 1м-с
+13,759,ЮЗ 3м-с
+11,754,Ю 2м-с
+6,749,СЗ 2м-с
+4,751,З 4м-с
+6,746,Ю 4м-с
+2,743,СЗ 2м-с
-1,754,С 2м-с
-1,755,СЗ 2м-с
+2,762,З 2м-с
+5,757,З 4м-с
+4,759,З 2м-с
+7,758,З 3м-с
+7,761,ЮЗ 2м-с
+4,760,Ш
+6,753,В 2м-с
+4,748,Ю 2м-с
+6,746,ЮЗ 2м-с
+7,745,Ю 5м-с
+1,744,ЮЗ 5м-с
0,741,ЮЗ 3м-с
+4,735,ЮЗ 4м-с
+7,743,Ю 3м-с
+10,743,В 4м-с
+4,752,В 1м-с
+1,759,ЮЗ 2м-с
0,749,ЮВ 2м-с
+1,743,З 1м-с
+1,753,ЮЗ 3м-с
+2,760,ЮЗ 2м-с
+2,764,Ш
+3,765,СВ 2м-с
+1,762,В 3м-с
+1,762,В 2м-с
0,760,Ю 2м-с
+2,758,З 1м-с
+2,754,Ю 3м-с
+4,753,Ю 2м-с
+5,750,В 2м-с
+3,751,В 2м-с
0,753,В 1м-с
0,759,Ш
0,761,С 2м-с
-3,754,З 3м-с
-4,759,С 3м-с
-8,761,СЗ 1м-с
-9,759,С 2м-с
-7,763,СВ 2м-с
-10,766,Ш
-13,765,Ш
-13,765,Ш
-12,763,Ш
-11,762,Ш
-12,761,В 1м-с
-9,760,В 3м-с
-9,763,В 3м-с
-8,768,Ш
-9,762,З 1м-с
-8,752,ЮЗ 2м-с
-8,753,Ш
-8,759,ЮЗ 2м-с
-8,756,Ю 2м-с
-10,747,Ю 2м-с
-8,740,Ю 2м-с
-14,745,З 2м-с
-16,747,В 2м-с
-12,748,ЮВ 1м-с
-15,748,З 1м-с
-16,751,З 2м-с
-15,756,Ю 2м-с
-13,745,ЮВ 2м-с
-16,747,В 2м-с
-20,750,С 3м-с
-18,751,З 1м-с
-16,749,Ю 2м-с
-4,746,ЮЗ 3м-с
-2,753,ЮЗ 1м-с
-5,748,Ю 2м-с
-4,757,С 3м-с
-7,756,В 5м-с
-5,753,Ш
-7,753,Ю 2м-с
-5,759,Ш
-7,763,ЮЗ 1м-с
-7,759,Ю 3м-с
-7,753,В 3м-с
-4,754,Ю 1м-с
-6,756,В 1м-с
-4,755,В 1м-с
-5,754,ЮЗ 1м-с
-7,751,Ш
-9,751,В 2м-с
-8,753,В 2м-с
-6,753,СЗ 1м-с
-8,754,З 1м-с
-8,747,З 2м-с
-8,748,ЮЗ 4м-с
-5,741,З 3м-с
-7,744,В 2м-с
-17,747,СЗ 2м-с
-11,753,Ш
-6,756,ЮЗ 2м-с
-8,755,В 2м-с
-4,754,В 3м-с
-5,754,ЮВ 2м-с
-5,751,ЮВ 3м-с
-2,756,Ш
-2,756,В 2м-с
-2,756,В 3м-с
-3,756,В 2м-с
-3,755,В 1м-с
-3,756,В 2м-с
-3,762,В 3м-с
-8,767,В 3м-с
-8,761,В 3м-с
-7,759,В 1м-с
-4,760,В 1м-с
-5,757,В 2м-с
-5,754,ЮВ 1м-с
-5,753,ЮВ 2м-с
-3,750,В 3м-с
+1,745,В 4м-с
-1,742,В 5м-с
-1,750,Ю 1м-с
+1,750,СЗ 2м-с
0,751,Ш
-2,751,Ш
-2,756,СВ 1м-с
-3,757,В 2м-с
-3,751,В 5м-с
+1,741,ЮЗ 2м-с
+1,747,Ю 3м-с
+1,747,В 1м-с
0,750,З 3м-с
-1,751,С 2м-с
-2,755,С 2м-с
+2,757,С 2м-с
+1,753,З 1м-с
+2,752,З 1м-с
+1,756,Ш
+2,753,З 1м-с
+3,745,Ю 2м-с
+1,727,Ю 3м-с
-1,737,ЮЗ 3м-с
-1,744,В 3м-с
+5,741,СЗ 1м-с
+7,743,В 2м-с
+3,750,Ш
+12,754,ЮВ 1м-с
+11,759,ЮВ 1м-с
+16,761,ЮВ 1м-с
+16,756,ЮЗ 4м-с
+16,749,ЮЗ 4м-с
+6,741,ЮЗ 2м-с
+1,741,СЗ 4м-с
+1,740,СВ 1м-с
+2,747,СЗ 3м-с
+4,747,ЮЗ 1м-с
+4,738,З 4м-с
+1,751,СЗ 3м-с
0,755,С 3м-с
+2,755,С 4м-с
+6,753,С 5м-с
+7,755,СЗ 3м-с
+9,752,СЗ 2м-с
+9,751,Ю 1м-с
+12,750,Ю 3м-с
+14,748,ЮЗ 4м-с
+3,750,СВ 3м-с
+16,742,Ю 7м-с
+2,741,Ш
+3,738,С 3м-с
+4,738,СЗ 2м-с
0,742,З 2м-с
+4,744,З 3м-с
+9,750,ЮЗ 2м-с
+8,749,С 4м-с
+10,750,СЗ 2м-с
+21,747,З 3м-с
+23,750,З 2м-с
+24,746,ЮЗ 5м-с
+26,743,ЮЗ 2м-с
+12,743,С 3м-с
+13,749,С 3м-с
+19,749,СЗ 3м-с
+21,749,ЮЗ 4м-с
+24,749,ЮЗ 2м-с
+23,750,Ю 2м-с
+22,745,ЮВ 4м-с
+25,743,В 1м-с
+20,743,В 3м-с
+24,747,С 2м-с
+24,750,З 3м-с
+21,750,ЮВ 1м-с
+21,744,В 2м-с
+19,743,ЮЗ 2м-с
+15,744,З 3м-с
+12,743,З 3м-с
+10,747,З 2м-с
+11,750,ЮЗ 2м-с
+12,746,СЗ 3м-с
+19,747,С 3м-с
+16,747,З 4м-с
+16,751,С 2м-с
+17,751,Ю 2м-с
+23,744,Ю 4м-с
+11,738,ЮВ 4м-с
+18,743,ЮЗ 2м-с
+22,747,С 2м-с
+24,751,ЮЗ 1м-с
+25,753,В 2м-с
+28,750,СЗ 2м-с
+23,749,С 4м-с
+22,751,С 3м-с
+27,746,З 4м-с
+28,746,ЮЗ 5м-с
+30,744,Ю 5м-с
+26,745,СЗ 2м-с
+28,743,С 2м-с
+24,747,З 2м-с
+25,751,ЮЗ 3м-с
+30,752,З 2м-с
+26,754,СЗ 2м-с
+28,753,З 2м-с
+31,752,Ш
+35,750,В 2м-с
+35,750,З 2м-с
+36,748,ЮВ 2м-с
+34,747,В 3м-с
+29,750,З 3м-с
+28,747,Ю 2м-с
+19,749,СЗ 3м-с
+23,752,З 2м-с
+30,752,ЮЗ 2м-с
+31,753,З 1м-с
+27,753,В 2м-с
+23,754,СВ 2м-с
+23,754,В 2м-с
+26,753,С 3м-с
+25,755,СВ 2м-с
+27,754,З 3м-с
+28,747,З 5м-с
+21,751,С 2м-с
+20,752,СЗ 3м-с
+24,747,СЗ 3м-с
+25,737,З 4м-с
+20,728,В 2м-с
+18,737,СЗ 2м-с
+18,737,В 1м-с
+14,738,З 3м-с
+22,748,СЗ 4м-с
+25,749,ЮЗ 2м-с
+21,747,Ш
+28,747,СЗ 1м-с
+29,748,СВ 2м-с
+29,748,З 2м-с
+31,748,В 2м-с
+32,748,С 2м-с
+29,749,С 2м-с
+29,749,З 1м-с
+31,745,З 3м-с
+31,745,СЗ 2м-с
+30,746,С 3м-с
+31,747,В 2м-с
+27,742,СВ 2м-с
+20,746,З 1м-с
+26,747,ЮЗ 4м-с
+27,746,З 2м-с
+30,745,СЗ 2м-с
+30,746,Ю 2м-с
+30,747,ЮВ 1м-с
+33,745,СВ 1м-с
+29,745,ЮЗ 1м-с
+24,742,В 1м-с
+27,743,СЗ 2м-с
+25,746,СВ 2м-с
+26,747,З 1м-с
+29,746,З 2м-с
+24,741,СВ 1м-с
+20,742,С 4м-с
+19,745,С 3м-с
+16,746,СЗ 1м-с
+16,747,З 1м-с
+20,747,З 2м-с
+25,748,З 2м-с
+28,750,В 1м-с
+21,749,ЮВ 1м-с
+19,744,З 3м-с
+23,745,З 4м-с
+23,744,З 3м-с
+23,747,З 3м-с
+29,748,ЮЗ 4м-с
+31,748,З 1м-с
+25,747,Ю 2м-с
+25,743,С 2м-с
+15,745,В 1м-с
+20,742,ЮЗ 2м-с
+20,746,С 2м-с
+21,747,С 2м-с
+22,744,З 2м-с
+23,746,С 2м-с
+21,747,З 1м-с
+23,745,З 2м-с
+21,747,СЗ 1м-с
+23,751,СВ 2м-с
+23,757,В 1м-с
+26,756,С 1м-с
+27,756,З 2м-с
+27,756,В 2м-с
+26,755,В 2м-с
+28,755,В 1м-с
+28,757,В 2м-с
+28,758,З 1м-с
+26,757,СЗ 2м-с
+19,752,СЗ 3м-с
+24,749,Ш
+21,749,В 1м-с
+21,750,СВ 2м-с
+25,750,В 1м-с
+21,750,С 1м-с
+17,752,С 2м-с
+17,753,ЮВ 1м-с
+15,747,Ю 2м-с
+13,747,В 1м-с
+14,750,СЗ 3м-с
+14,753,Ш
+18,749,ЮЗ 3м-с
+18,744,ЮЗ 2м-с
+17,741,З 2м-с
+13,744,Ю 1м-с
+13,744,Ш
+17,751,З 2м-с
+15,750,ЮЗ 2м-с
+13,747,ЮЗ 3м-с
+13,741,В 2м-с
+9,744,С 2м-с
+12,746,Ю 5м-с
+11,748,ЮЗ 3м-с
+12,753,С 1м-с
+11,748,Ю 2м-с
+12,744,З 5м-с
+8,752,СЗ 2м-с
+11,754,ЮЗ 3м-с
+17,749,ЮЗ 6м-с
+9,751,СЗ 3м-с
+10,757,З 2м-с
+10,756,ЮВ 3м-с
+18,753,Ю 2м-с
+20,754,ЮВ 2м-с
+19,757,Ю 2м-с
+17,758,З 1м-с
+18,756,Ю 2м-с
+18,756,Ю 1м-с
+21,756,Ю 2м-с
+17,756,З 1м-с
+10,757,СВ 1м-с
+11,760,В 2м-с
+7,759,В 2м-с
+6,749,Ш
+3,753,С 4м-с
+2,762,Ш
+3,757,ЮЗ 2м-с
+6,751,Ю 3м-с
+3,743,ЮВ 2м-с
+6,742,ЮЗ 3м-с
+1,749,З 3м-с
0,750,З 3м-с
-1,753,СВ 2м-с
-3,754,С 2м-с
-4,754,СВ 2м-с
-3,757,СВ 1м-с
0,761,СВ 1м-с
-3,763,В 1м-с
-1,765,С 2м-с
-1,760,ЮЗ 3м-с
+1,759,Ш
0,759,В 2м-с
+3,758,ЮВ 2м-с
+4,761,В 3м-с
+2,764,В 3м-с
+1,762,В 2м-с
+1,759,В 3м-с
0,757,В 4м-с
-1,757,Ш
0,750,ЮВ 2м-с
+1,747,В 1м-с
+1,747,СЗ 1м-с
0,738,ЮВ 2м-с
+1,744,Ш
+1,750,ЮЗ 2м-с
+3,747,Ю 2м-с
+3,745,Ю 1м-с
+4,748,ЮЗ 2м-с
+5,751,ЮЗ 1м-с
+7,752,ЮЗ 2м-с
+3,753,Ю 2м-с
+3,758,СЗ 1м-с
+1,762,Ю 2м-с
+1,755,З 4м-с
0,752,З 3м-с
-3,759,СВ 3м-с
-8,763,С 1м-с
-12,766,В 2м-с
-9,765,З 3м-с
-8,760,З 3м-с
-7,761,Ш
-10,762,В 1м-с
-10,758,В 2м-с
-9,747,В 1м-с
-11,747,С 1м-с
-23,754,С 2м-с
-24,755,СЗ 1м-с
-25,761,Ш
-22,755,Ш
-13,751,СВ 2м-с
-15,755,СВ 1м-с
-11,755,В 3м-с
-7,753,ЮВ 1м-с
-12,764,Ш
-9,761,Ю 3м-с
-4,756,Ю 3м-с
-3,752,Ш
-2,740,ЮВ 5м-с
+1,744,ЮЗ 4м-с
-2,742,В 2м-с
-2,741,ЮВ 2м-с
-2,746,ЮВ 2м-с
